dataset,model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
Augmented,SVM-RBF (balanced),0.9996992481203009,0.0006015037593984918,0.9969696969696968,0.006060606060606055,1.0,0.0,0.9984732824427482,0.0030534351145038215,1.0,0.0,1.0,0.0
Augmented,RandomForest (balanced),1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.866583523299505e-17
Augmented,GradientBoosting,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Augmented,LogReg (balanced),0.9993984962406016,0.0007366886444460631,0.9939393939393939,0.007422696190252049,1.0,0.0,0.9969465648854963,0.003739678996615545,0.9999982905982906,6.395995532956857e-06,0.9999844599844601,5.8145413935870714e-05
Cleaned,LogReg (balanced),0.9993388429752066,0.0008097486753001997,0.9333333333333335,0.0816496580927726,1.0,0.0,0.9636363636363635,0.04453617714151235,1.0,0.0,1.0,0.0
Cleaned,SVM-RBF (balanced),0.9996694214876033,0.0006611570247933683,0.9666666666666668,0.06666666666666665,1.0,0.0,0.9818181818181818,0.036363636363636376,1.0,0.0,1.0,0.0
Cleaned,RandomForest (balanced),0.9997796143250689,0.0008246076885452241,1.0,0.0,0.9733333333333333,0.09977753031397177,0.9833333333333333,0.06236095644623236,1.0,2.866583523299505e-17,1.0,0.0
Cleaned,GradientBoosting,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
